SA2_CODE_2021,SA2_NAME_2021,High,Medium,Low,Very Low,High_Med_Exposed,Total_Exposed
305021113,Balmoral,115.0,87.0,206.0,324.0,202.0,732.0
303061077,Kuraby,147.0,35.0,10.0,12.0,182.0,204.0
303021052,Annerley,170.0,10.0,73.0,251.0,180.0,504.0
303051075,Parkinson - Drewvale,144.0,20.0,17.0,2.0,164.0,183.0
310031288,Ipswich - North,85.0,70.0,86.0,46.0,155.0,287.0
303031063,Mount Gravatt,109.0,34.0,41.0,23.0,143.0,207.0
305011107,Highgate Hill,31.0,109.0,86.0,116.0,140.0,342.0
303041070,Salisbury - Nathan,97.0,36.0,210.0,158.0,133.0,501.0
302021033,Stafford Heights,80.0,24.0,26.0,10.0,104.0,140.0
303031064,Rochedale - Burbank,86.0,13.0,13.0,15.0,99.0,127.0
303021056,Holland Park,83.0,14.0,21.0,16.0,97.0,134.0
302031036,Brisbane Airport,67.0,17.0,15.0,9.0,84.0,108.0
303041071,Tarragindi,54.0,8.0,11.0,28.0,62.0,101.0
305031121,Ascot,31.0,14.0,35.0,18.0,45.0,98.0
314011382,Albany Creek,10.0,0.0,0.0,0.0,10.0,10.0
310031289,Karalee - Barellan Point,9.0,0.0,0.0,0.0,9.0,9.0
301011003,Birkdale,6.0,0.0,0.0,0.0,6.0,6.0
310041299,Collingwood Park - Redbank,6.0,0.0,0.0,0.0,6.0,6.0
301011005,Thorneside,5.0,0.0,0.0,0.0,5.0,5.0
301011004,Capalaba,5.0,0.0,0.0,0.0,5.0,5.0
314031394,Strathpine - Brendale,5.0,0.0,0.0,0.0,5.0,5.0
314011386,The Hills District,4.0,0.0,0.0,0.0,4.0,4.0
314021389,Murrumba Downs - Griffin,1.0,0.0,0.0,0.0,1.0,1.0
310041300,Goodna,1.0,0.0,0.0,0.0,1.0,1.0
310031295,Riverview,1.0,0.0,0.0,0.0,1.0,1.0
303011047,Camp Hill,0.0,0.0,45.0,76.0,0.0,121.0
304041102,Mount Coot-tha,0.0,0.0,0.0,0.0,0.0,0.0
304041099,Enoggera Reservoir,0.0,0.0,0.0,0.0,0.0,0.0
310021281,Lowood,0.0,0.0,0.0,0.0,0.0,0.0
310021279,Lake Manchester - England Creek,0.0,0.0,0.0,0.0,0.0,0.0
310041298,Carole Park,0.0,0.0,0.0,0.0,0.0,0.0
310041297,Camira - Gailes,0.0,0.0,0.0,2.0,0.0,2.0
311031315,Greenbank Military Camp,0.0,0.0,0.0,0.0,0.0,0.0
314031392,Lawnton,0.0,0.0,0.0,0.0,0.0,0.0
